"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","Assistence","0","UI ~ Assistence - TM Medical record","0","0","Non_institutional_predefined_text","0"
"0","Administration","0","UI ~ TM Administration","1","0","Companies_tenants","0"
"1","Payroll","0","UI ~ Payroll","0","0","severance_pay_forms","0"
"0","Assistance","0","UI ~ Assistance","1","0","Setting_motif","0"
"1","MyPayroll","0","UI ~ MyPayroll","0","0","Work_Environment","0"
"0","Administration","0","UI ~ Administration TM Billing","2","0","Sale_Services","0"
"0","Administration","0","UI ~ Administration TM Billing","1","0","Coverage_types","0"
"0","Appointment","0","UI ~ Appointment - Appointment records","1","0","List_appointments","0"
"1","Assistence","0","UI ~ Assistence - TM Surgery","1","0","","0"
"0","MyPayroll","0","UI ~ My Payroll - Vacation and Pay Slips","1","0","Disability","0"
"0","Administration","0","UI ~ TM Contability","1","0","TM_Contability","0"
"1","Assistence","0","UI ~ Assistence - TM Medical record","0","0","Diagnostic_AID_services","0"
"1","Payroll","0","UI ~ Payroll Approved payroll changes","0","0","Medical_Leaves","0"
"0","Administration","0","UI ~ TM Security","1","0","Login","0"
"0","Administration","0","UI ~ Payroll","1","0","Payroll_Roles","0"
"1","Assistence","0","UI ~ Assistence - TM Admission","0","0","Assignment_of_venues","0"
"1","Administration","0","UI ~ Administration TM Billing","0","0","Configuration_supporting","0"
"1","Payroll","0","UI ~ Disciplinary Procedures","0","0","list_disciplinary_procedures","0"
"1","Administration","0","UI ~ TM Contability","0","0","Franchises","0"
"0","Payroll","0","UI ~ health and safety","1","0","Medical_Exams","0"
"0","Administration","0","UI ~ Administration TM Billing","1","0","Specialty_creation","0"
"0","Administration","0","UI ~ TM Contability","1","0","Journal_types","0"
"0","Payroll","0","UI ~ Payroll Approved payroll changes","1","0","Earnings_sheet","0"
"0","Payroll","0","UI ~ Payroll employees","1","0","Work_Supplies","0"
"0","Administration","0","UI ~ Administration TM Purchase","1","0","Unit_of_measure_creation","0"
"1","Administration","0","UI ~ Administration TM Billing","0","0","Services","0"
"1","MyPayroll","0","UI ~ MyPayroll","0","0","Assessment","0"
"1","MyPayroll","0","UI ~ Area_management","0","0","authorize_vacations","0"
"0","Administration","0","UI ~ Administration TM Treasury","1","0","Types_of_bank_note","0"
"0","Payroll","0","UI ~ Payroll","1","0","payment_flyer","0"
"0","Appointment","0","UI ~ Appointment - Appointment records","1","0","Requested_services_vs_scheduled_services","0"
"0","Administration","0","UI ~ Administration TM Treasury","1","0","Prioritize_bills_to_be_paid","0"
"0","Administration","0","UI ~ TM Administration","1","0","Headquarters_creation","0"
"0","Administration","0","UI ~ Administration TM Receivable","1","0","Impairement_Of_Receivables","0"
"0","Payroll","0","UI ~ Payroll","1","0","service_bonus","0"
"0","Assistance","0","UI ~ tm de atencion de citas","1","0","Importance_configuration","0"
"1","Assistence","0","UI ~ Assistence - TM Medical record","0","0","Unexpected_situations","0"
"0","Administration","0","UI ~ Payroll","1","0","User_creation_final","0"
"1","MyPayroll","0","UI ~ Area_management","0","0","approval_overtime","0"
"0","MyPayroll","0","UI ~ My Payroll - Vacation and Pay Slips","1","0","report_and_complaint","0"
"0","Administration","0","UI ~ Administration - Sub family","1","0","Warehouse","0"
"0","Administration","0","UI ~ Administration - Sub family","1","0","Legal_entity_supplier","0"
"0","Administration","0","UI ~ TM Security","1","0","Roles","0"
"1","Assistence","0","UI ~ Assistence - TM Admission","0","0","Settings","0"
"0","Administration","0","UI ~ Payroll","1","0","Tm_employee","0"
"1","Administration","0","UI ~ Administration TM Billing","0","0","Plan_contract","0"
"1","Assistence","0","UI ~ Assistence - TM Medical record","0","0","Institutional_predefined_text","0"
"0","Administration","0","UI ~ Administration TM Receivable","1","0","Tax_Provision_For_doubtful_Accounts","0"
"0","Administration","0","UI ~ Administration TM Receivable","1","0","Collection_letter","0"
"0","Administration","0","UI ~ Administration TM Contability","1","0","Franchises","0"
"1","Medical_Account","0","UI ~ Contract","0","0","Medical_contract","0"
"0","Administration","0","UI ~ Administration TM Billing","1","0","Authorization_Types","0"
"0","Administration","0","UI ~ Administration TM Treasury","1","0","Type_of_payments","0"
"0","Administration","0","UI ~ Administration TM Contability","1","0","Functional_Units","0"
"0","Administration","0","UI ~ Administration TM Billing","1","0","Sub-specialty_creation","0"
"1","Assistence","0","UI ~ Assistence - TM Medical record","0","0","Extended_diagnostics","0"
"1","MyPayroll","0","UI ~ Area_management","0","0","Approve_disability","0"
"0","Administration","0","UI ~ Administration TM Contability","1","0","TM_Contability","0"
"0","Administration","0","UI ~ Administration TM Contability","1","0","Chart_of_account","0"
"1","Payroll","0","UI ~ Payroll Approved payroll changes","0","0","Approve_Permits","0"
"1","Appointment","0","UI ~ Appointment - Appointment records","0","0","Patient","0"
"1","Assistence","0","UI ~ Assistence - TM Medical record","0","0","CIE_10","0"
"0","Administration","0","UI ~ Administration TM Billing","1","0","Assignments_services","0"
"1","Accounting","0","UI ~ Accounting Consultation","0","0","Payroll_Accounting_Voucher","0"
"1","MyPayroll","0","UI ~ requests vacation","0","0","look_for_payment_slip","0"
"0","Administration","0","UI ~ Administration TM Billing","1","0","Consumption_sheet","0"
"1","Administration","0","UI ~ Payroll","0","0","CONTRACT","0"
"0","Administration","0","UI ~ Administration TM Receivable","1","0","Account_Receivable_Aging","0"
"0","Administration","0","UI ~ TM Administration","1","0","Create_a_new_accounts","0"
"1","MyPayroll","0","UI ~ MyPayroll","0","0","Employment_Certificate","0"
"0","Administration","0","UI ~ Assistance","1","0","CONSENTS","0"
"1","Administration","0","UI ~ Administration TM Billing","0","0","Copayment","0"
"0","Administration","0","UI ~ Administration TM Billing","1","0","Payment_methods","0"
"1","Assistence","0","UI ~ Assistence - TM Ordering","0","0","Justifications","0"
"0","Assistance","0","UI ~ tm de atencion de citas","1","0","Service_package_configuration","0"
"1","Accounting","0","UI ~ Accounting Consultation","0","0","Provision_Sheets","0"
"1","Assistence","0","UI ~ Assistence - TM Ordering","0","0","Medications","0"
"0","Payroll","0","UI ~ Payroll employees","1","0","Deductions_And_Payroll_Loans","0"
"0","MyPayroll","0","UI ~ My Payroll - Vacation and Pay Slips","1","0","records_overtime","0"
"1","Assistence","0","UI ~ Assistence - TM Medical record","0","0","Medical_services","0"
"0","Administration","0","UI ~ TM Administration","1","0","Holidays","0"
"1","Accounting","0","UI ~ Accounting Consultation","0","0","Provision_Accounting_Voucher","0"
"0","Administration","0","UI ~ Administration TM Contability","1","0","Accounting_periods","0"
"1","Administration","0","UI ~ Administration TM Receivable","0","0","Company_creation","0"
"0","Administration","0","UI ~ Payroll","1","0","Collaborator","0"
"0","Appointment","0","UI ~ Appointment - Appointment records","1","0","Performance_reports","0"
"0","Administration","0","UI ~ Administration TM Billing","1","0","Pricing_Manual","0"
"0","Administration","0","UI ~ Administration TM Contability","1","0","Cost_center","0"
"0","Appointment","0","UI ~ Appointment - Discounts","1","0","Patient","0"
"1","Payroll","0","UI ~ Payroll Approved payroll changes","0","0","Approve_overtime_on_payroll","0"
"0","Administration","0","UI ~ TM Contability","1","0","Collections","0"
"1","Assistence","0","UI ~ Assistence - TM Medical record","0","0","Assistance_lots","0"
"1","Payroll","0","UI ~ Payroll Approved payroll changes","0","0","Vacations","0"
"1","Appointment","0","UI ~ Appointment - Appointment records","0","0","Appointment_record","0"
"0","Administration","0","UI ~ Administration TM Purchase","1","0","Article_creation","0"
"0","Payroll","0","UI ~ Accounting","1","0","payroll_authorization_in_accounting","0"
"0","Assistance","0","UI ~ Assistance","1","0","Resource_allocation","0"
"0","Administration","0","UI ~ TM Administration","1","0","Resolutions","0"
"0","Administration","0","UI ~ Administration TM Payroll","1","0","Payroll_Parameters","0"
"1","Assistence","0","UI ~ Assistence - TM Ordering","0","0","Reasons_cancellation","0"
"0","Assistance","0","UI ~ ASSISTANCE","1","0","CIE_10","0"
"0","Administration","0","UI ~ TM Administration","1","0","Regimen_Types","0"
"0","Administration","0","UI ~ Administration TM Payroll","1","0","Contract_Types","0"
"0","Administration","0","UI ~ Administration TM Receivable","1","0","Tm_cartera_data_rips","0"
"0","Payroll","0","UI ~ Disciplinary Procedures","1","0","Report_And_Complaints","0"
"1","Assistence","0","UI ~ Assistence - TM Ordering","0","0","Surgerical_packages","0"
"1","Payroll","0","UI ~ Accounting","0","0","payroll_approved_in_accounting","0"
"0","Payroll","0","UI ~ Payroll employees","1","0","Performance_Evaluation","0"
"1","Assistence","0","UI ~ Assistence - TM Medical record","0","0","Medical_concepts","0"
"0","Administration","0","UI ~ TM Administration","1","0","Population","0"
"0","Administration","0","UI ~ TM Contability","1","0","Accounting_periods","0"
"1","MyPayroll","0","UI ~ Area_management","0","0","Approve_permits","0"
"0","Administration","0","UI ~ Administration TM Receivable","1","0","Late_Payment_Interests","0"
"0","Administration","0","UI ~ TM Administration","1","0","Company_creation","0"
"0","Administration","0","UI ~ Administration TM Purchase","1","0","Consumption_center","0"
"0","Administration","0","UI ~ Administration TM Contability","1","0","Collections","0"
"0","MyPayroll","0","UI ~ My Payroll - Vacation and Pay Slips","1","0","Request_Permits","0"
"1","Administration","0","UI ~ Administration TM Billing","0","0","Tm_documents","0"
"1","MyPayroll","0","UI ~ requests vacation","0","0","requests_vacation","0"
"0","Administration","0","UI ~ Payroll","1","0","Dependency","0"
"0","Assistance","0","UI ~ Assistance","1","0","Care_groups","0"
"1","Assistance","0","UI ~ Assistance","0","0","Agenda_setting","0"
"0","Administration","0","UI ~ Administration TM Billing","1","0","Code_Types","0"
"1","Medical_Account","0","UI ~ Contract_Settlements","0","0","Settlements_History","0"
"0","Payroll","0","UI ~ Payroll","1","0","employment_letter","0"
"0","Administration","0","UI ~ Administration TM Purchase","1","0","Inventory_group","0"
"0","Payroll","0","UI ~ Payroll employees","1","0","logout","0"
"0","Payroll","0","UI ~ health and safety","1","0","Work_Environment","0"
"0","Appointment","0","UI ~ Appointment - Additional slots","1","0","Patient","0"
"0","Administration","0","UI ~ TM Security","1","0","User_creation","0"
"1","Assistence","0","UI ~ Assistence - TM Medical record","0","0","Change_history","0"
"1","Payroll","0","UI ~ Payroll","0","0","payment_sheets","0"
"0","Administration","0","UI ~ Administration TM Treasury","1","0","TM_Treasury","0"
"0","Administration","0","UI ~ Administration TM Receivable","1","0","Charges_Of_Types","0"
"0","Assistance","0","UI ~ tm de atencion de citas","1","0","list_of_patients","0"
"1","Payroll","0","UI ~ health and safety","0","0","Occupational_Accidents","0"
"1","Assistence","0","UI ~ Assistence - TM Medical record","0","0","Dilation_requirements","0"
"0","Payroll","0","UI ~ Payroll","1","0","Payroll_sheet","0"
